Date,Predicted_Price,Lower_Bound,Upper_Bound
2026-01-10,4508.7153855988145,4412.373693109966,4607.160644638726
2026-01-11,4509.799631872177,4374.259054384991,4649.540063075649
2026-01-12,4510.884138882774,4345.569323940571,4682.487885378506
2026-01-13,4511.968906693307,4321.766531097722,4710.5421517983605
2026-01-14,4513.053935366493,4301.091513486753,4735.4620936711035
2026-01-15,4514.1392249650635,4282.641356317882,4758.150694152045
2026-01-16,4515.224775551766,4265.879265869443,4779.144814732889
2026-01-17,4516.31058718936,4250.455215592855,4798.794549141888
2026-01-18,4517.396659940625,4236.125883286651,4817.343286174912
2026-01-19,4518.4829938683515,4222.713965999636,4834.968394797325
2026-01-20,4519.569589035348,4210.085506703891,4851.8038974759975
2026-01-21,4520.656445504436,4198.136349952148,4867.954014526885
2026-01-22,4521.743563338453,4186.783599066119,4883.501706931625
2026-01-23,4522.830942600251,4175.95998688268,4898.514305596234
2026-01-24,4523.918583352698,4165.610030217071,4913.047356892744
2026-01-25,4525.006485658677,4155.68732220264,4927.147330324256
2026-01-26,4526.094649581085,4146.152576107599,4940.853574712947
2026-01-27,4527.183075182837,4136.972180361119,4954.199763178698
2026-01-28,4528.271762526858,4128.11711036465,4967.214981332444
2026-01-29,4529.360711676092,4119.562094948906,4979.924560823838
2026-01-30,4530.4499226935,4111.284968199342,4992.350727520369
2026-01-31,4531.539395642054,4103.266158606684,5004.513112361401
2026-02-01,4532.629130584742,4095.4882815588576,5016.429158870768
2026-02-02,4533.719127584567,4087.9358107059215,5028.114451796324
2026-02-03,4534.80938670455,4080.5948102966904,5039.582984777775
2026-02-04,4535.899908007724,4073.452715199137,5050.847380330684
2026-02-05,4536.990691557137,4066.498148610105,5061.919072141138
2026-02-06,4538.081737415857,4059.720769845752,5072.808457279636
2026-02-07,4539.173045646961,4053.1111463559228,5083.525024191025
2026-02-08,4540.264616313543,4046.660645407831,5094.077461015079
